,equity_gross
2020-07-02,994684.0080695427
2020-07-03,990237.9533734838
2020-07-06,984262.1242659407
2020-07-07,980655.8606285194
2020-07-08,978088.2039467213
2020-07-09,975054.2376970609
2020-07-10,964404.7308827991
2020-07-13,960818.2089399204
2020-07-14,971098.7081769044
2020-07-15,974012.4708802751
2020-07-16,977653.3530518895
2020-07-17,979377.287242257
2020-07-20,972538.8493261206
2020-07-21,967150.4998723839
2020-07-22,961167.6193891225
2020-07-23,961291.4938218081
2020-07-24,961081.0446879497
2020-07-27,957052.3095470084
2020-07-28,954412.0856719208
2020-07-29,958405.973565613
2020-07-30,953316.851236809
2020-07-31,961616.6573740189
2020-08-03,960721.6617632277
2020-08-04,961520.6710141889
2020-08-05,968319.0332596216
2020-08-06,972168.4939182407
2020-08-07,972291.4812980904
2020-08-10,975106.5741392941
2020-08-11,979236.0549860438
2020-08-12,980733.0285535578
2020-08-13,980308.6425319235
2020-08-14,978750.7318935123
2020-08-17,975521.4563869666
2020-08-18,973810.0231549016
2020-08-19,980105.0664678133
2020-08-20,982923.626966129
2020-08-21,986629.981212256
2020-08-24,989531.403832729
2020-08-25,987883.0629301126
2020-08-26,982799.5529215293
2020-08-27,990071.8668079918
2020-08-28,992979.9641750869
2020-08-31,999005.3144806067
2020-09-01,998367.5713571382
2020-09-02,1003172.0076215569
2020-09-03,1005842.6596625407
2020-09-04,1006105.2166178258
2020-09-07,1001727.8061870926
2020-09-08,1010126.3762111135
2020-09-09,1010547.9082215161
2020-09-10,1008621.9238456781
2020-09-11,1013901.668417465
2020-09-14,1020364.3426550336
2020-09-15,1019517.750709037
2020-09-16,1018348.1808225785
2020-09-17,1014289.5470873747
2020-09-18,1013202.214338676
2020-09-21,1011715.5416299575
2020-09-22,1011946.5400526182
2020-09-23,1010123.545375386
2020-09-24,1013871.6603305857
2020-09-25,1014381.2659863153
2020-09-28,1012658.5606859999
2020-09-29,1018467.1102003993
2020-09-30,1014813.8584345713
2020-10-01,1011809.8372795056
2020-10-02,1006030.709113108
2020-10-05,1008875.7534257689
2020-10-06,1011047.5234613088
2020-10-07,1009398.3091942322
2020-10-08,1013104.3003860916
2020-10-09,1006131.8118315215
2020-10-12,1011665.128831995
2020-10-13,1010999.8365899901
2020-10-14,1011914.9947305864
2020-10-15,1017918.6813228448
2020-10-16,1017476.1381503766
2020-10-19,1022992.3008704721
2020-10-20,1025517.4276948738
2020-10-21,1024014.0435468189
2020-10-22,1030292.7194158647
2020-10-23,1029228.8682438537
2020-10-26,1016859.9926434301
2020-10-27,1018450.7559876894
2020-10-28,1011370.9917743726
2020-10-29,1006432.0334286091
2020-10-30,994448.9044289312
2020-11-02,995102.4208622178
2020-11-03,993002.0436148131
2020-11-04,990119.3862472597
2020-11-05,983264.4179374067
2020-11-06,988260.3506182715
2020-11-09,989039.0997113483
2020-11-10,990109.908185945
2020-11-11,995015.5261919273
2020-11-12,996947.7016848207
2020-11-13,1002050.2578829989
2020-11-16,997937.7900418596
2020-11-17,1004058.3525162272
2020-11-18,1000943.1279773455
2020-11-19,1002869.8697009198
2020-11-20,1007603.1433627822
2020-11-23,1005156.6789101021
2020-11-24,1008924.7857991403
2020-11-25,1011348.271420179
2020-11-26,1010878.0272632651
2020-11-27,1013092.1214336974
2020-11-30,1004248.4177003088
2020-12-01,998073.0267258774
2020-12-02,1001077.6340201623
2020-12-03,1000375.0675195435
2020-12-04,1001305.1396676057
2020-12-07,999991.75585908
2020-12-08,992451.0324114093
2020-12-09,992443.5198121119
2020-12-10,1003299.9982921877
2020-12-11,999149.8132073578
2020-12-14,996681.427144913
2020-12-15,989928.3727405797
2020-12-16,989888.2674357382
2020-12-17,983613.5038977313
2020-12-18,981480.1269706446
2020-12-21,975294.9819583048
2020-12-22,977764.977695509
2020-12-23,981191.07718588
2020-12-24,979753.0204132221
2020-12-25,977408.9131668754
2020-12-28,978318.4080760637
2020-12-29,973312.4525599211
2020-12-30,970010.7638178159
2020-12-31,966797.3562533808
2021-01-01,971635.6882841307
2021-01-04,964654.7136565435
2021-01-05,962904.3660163736
2021-01-06,959950.225857376
2021-01-07,965035.4372334554
2021-01-08,968890.5957690597
2021-01-11,968661.3388692002
2021-01-12,964450.1240472014
2021-01-13,970078.7326539584
2021-01-14,962279.5437300702
2021-01-15,965985.5673236614
2021-01-18,968386.6491551576
2021-01-19,963558.9236670723
2021-01-20,959423.0671533393
2021-01-21,955886.1421118212
2021-01-22,958874.3582830866
2021-01-25,960375.2653161547
2021-01-26,958907.8060904258
2021-01-27,961514.7471362769
2021-01-28,956946.2765140402
2021-01-29,960911.8385798119
2021-02-01,950939.7770280673
2021-02-02,949311.6168418782
2021-02-03,951790.336376769
2021-02-04,950403.6186009634
2021-02-05,954256.8396701461
2021-02-08,951564.3138628858
2021-02-09,948488.7826599232
2021-02-10,947955.6507634857
2021-02-11,946183.2177793896
2021-02-12,957586.5913122428
2021-02-15,952376.2947802971
2021-02-16,948401.7602515814
2021-02-17,944430.0323916762
2021-02-18,941474.9817255769
2021-02-19,935991.0706122308
2021-02-22,931274.2719335972
2021-02-23,929118.5862607533
2021-02-24,923957.1388925606
2021-02-25,918816.933015197
2021-02-26,921626.3572979696
2021-03-01,925121.8488696576
2021-03-02,928766.7990225938
2021-03-03,930918.5361941195
2021-03-04,927980.1176723307
2021-03-05,916584.4132537025
2021-03-08,919353.2226255367
2021-03-09,922118.6403807419
2021-03-10,924113.8048767104
2021-03-11,926753.0187758692
2021-03-12,921550.3063580021
2021-03-15,921915.6677491182
2021-03-16,924258.2239018311
2021-03-17,915416.4032801102
2021-03-18,910960.0036657266
2021-03-19,907399.9621594102
2021-03-22,911067.6256989783
2021-03-23,913626.4489088198
2021-03-24,915535.8155480361
2021-03-25,912664.6098189525
2021-03-26,915513.5213256333
2021-03-29,906504.3356551492
2021-03-30,903838.6365279583
2021-03-31,900622.0142015966
2021-04-01,896521.8216581242
2021-04-02,898680.1027212215
2021-04-05,900252.1243183449
2021-04-06,902528.7206824373
2021-04-07,901167.6210203009
2021-04-08,895533.4765474177
2021-04-09,897590.3697518856
2021-04-12,899811.1599045268
2021-04-13,900765.1832055552
2021-04-14,909461.3482723066
2021-04-15,909611.4362710802
2021-04-16,906344.5887111876
2021-04-19,905491.1519726554
2021-04-20,908490.3840074539
2021-04-21,903379.4576562741
2021-04-22,903728.2719012909
2021-04-23,910381.4426950493
2021-04-26,910811.6516374869
2021-04-27,912057.5737543784
2021-04-28,907601.2344620792
2021-04-29,908099.0962640485
2021-04-30,909205.1569649184
2021-05-03,911923.5790095871
2021-05-04,908771.6350875315
2021-05-05,903847.2797303069
2021-05-06,902343.4253855204
2021-05-07,903049.4301681579
2021-05-10,902999.6029314366
2021-05-11,903812.8610474057
2021-05-12,909492.3078412963
2021-05-13,916242.8319150913
2021-05-14,912347.3052127009
2021-05-17,911380.2524719909
2021-05-18,911653.8578920889
2021-05-19,910662.3138837748
2021-05-20,904117.6324522158
2021-05-21,900549.6570708863
2021-05-24,901448.0602815863
2021-05-25,895603.5711431137
2021-05-26,894890.1439774109
2021-05-27,892206.589179343
2021-05-28,892724.4988852168
2021-05-31,897812.0317865575
2021-06-01,894961.7802158591
2021-06-02,892896.6921911448
2021-06-03,894723.3856768563
2021-06-04,893744.3362968075
2021-06-07,891735.1381974422
2021-06-08,889179.1141652836
2021-06-09,880363.4674086171
2021-06-10,884823.81758655
2021-06-11,887094.9200089442
2021-06-14,885401.1677156137
2021-06-15,873833.0432447994
2021-06-16,878174.5515722462
2021-06-17,886049.7152717456
2021-06-18,888516.5276739554
2021-06-21,886006.8180456343
2021-06-22,892604.4537551764
2021-06-23,899235.9679584235
2021-06-24,908533.9469611339
2021-06-25,903748.4047370377
2021-06-28,904436.4212871892
2021-06-29,914348.3851085374
2021-06-30,909752.693246618
2021-07-01,913708.984429743
2021-07-02,910639.3687091147
2021-07-05,919850.4017324544
2021-07-06,932217.8165013292
2021-07-07,931934.7236688957
2021-07-08,933902.6501984167
2021-07-09,927993.2490474673
2021-07-12,919989.7292384782
2021-07-13,915857.2264714245
